noteId,tweetId,writer,n_words,n_urls,flesch_kincaid_grade,vader_compound
1988649392958533847,1988475040921276749,bot,32,2,7.5,0.4767
1988649893053730938,1988281816642712028,bot,45,2,6.8,-0.5106
1988650166216237086,1988514720005972197,bot,40,2,4.9,-0.4019
1988716121613046062,1988420315656131070,bot,31,1,2.8,0.0
1989007283087421793,1988796762069631123,bot,31,2,9.7,-0.5499
1989008306837336502,1988752770497761532,bot,43,2,7.7,-0.8658
1989010219397972190,1988373799159656635,bot,34,2,6.6,0.678
1989064405724569807,1988483394825842983,bot,32,2,9.8,-0.296
1989065036766015938,1989033636155236742,bot,33,2,10.9,-0.9093
1989065710266433809,1988957905295655337,bot,33,2,5.2,0.3773
1989069280822837414,1988727649364267348,bot,36,2,11.5,0.5932
1989087365462110528,1989028802589323325,bot,33,2,7.7,0.4215
1989089616008196243,1989016768937955466,bot,32,2,13.1,0.3612
1989089998499422682,1988939159357235418,bot,39,2,5.9,-0.6486
1989090031122657408,1988977921088974905,bot,26,2,8.4,0.4215
1989094034476872103,1988938432878354509,bot,32,2,13.1,-0.3818
1989095971389587846,1988921829709193655,bot,32,2,6.0,0.0
1989097414288883738,1989009112097566866,bot,39,2,11.9,0.0
1989340211541610754,1989321989320798640,bot,39,2,8.4,-0.379
1989342867630825751,1989100069275177286,bot,31,2,7.3,-0.5106
1989413338233626656,1989401918863810774,bot,38,1,7.2,-0.1027
1989416595949551910,1989271391175319873,bot,34,2,11.1,-0.4588
1989443920531464456,1988938435504353484,bot,36,2,8.0,-0.8689
1989444230486298862,1989390636198633936,bot,37,2,8.1,-0.8307
1989445537142075716,1989345763135213971,bot,39,2,7.2,0.0
1989734451463528574,1983458760589996235,bot,42,2,8.8,-0.128
1989736738428727302,1989437140418130098,bot,39,2,9.7,-0.0717
1989742796836626607,1989100233926844497,bot,33,2,3.0,-0.5574
1989743440851075097,1989389266259251578,bot,38,2,7.1,0.0258
1989744003328147796,1989440177090302084,bot,36,2,11.5,0.5423
1989745012184154346,1989448515165327634,bot,31,1,10.8,-0.856
1989745359732559873,1989530910841295234,bot,33,2,9.7,-0.3818
1990081821594263896,1989823475331002522,bot,40,1,14.6,0.2263
1990082348411408700,1989917965094203891,bot,35,2,11.4,-0.7906
1990083545516081561,1989860562096791747,bot,30,1,6.0,-0.0772
1990086789889978489,1989752770950295932,bot,33,1,8.2,-0.4497
1990087049517346969,1989872296555938082,bot,36,1,10.1,-0.296
1990087557284040848,1989824419636949320,bot,32,2,20.1,0.3071
1990088645433237722,1989758080314478727,bot,41,1,11.0,-0.1027
1990508068585480361,1990426869187916076,bot,31,1,6.1,-0.4449
1990508378917888328,1990453926013907014,bot,36,1,11.3,-0.4019
1990508547344404670,1990376938238791687,bot,33,1,10.9,0.2382
1990509944588652677,1990329057771442478,bot,32,1,5.8,-0.4019
1990510221672714429,1990460064331935997,bot,35,1,9.0,-0.6597
1990511069668725120,1990466852628123699,bot,32,1,4.0,-0.4767
1990511316453183906,1990261462741475337,bot,39,2,10.9,-0.526
1990824844754112611,1990494395813277897,bot,33,2,10.9,-0.1027
1990827186383691934,1990662605590130751,bot,39,1,20.9,-0.2263
1990852121315414369,1990799837336367288,bot,42,1,11.3,0.3291
1990878558105801054,1990668980126953633,bot,32,1,6.0,-0.4019
1990885817691091116,1990822359750881314,bot,35,2,5.5,0.2911
1990889991644352705,1990615296923873740,bot,21,1,14.6,0.0
1990917942251245878,1990859308473462806,bot,29,2,14.2,-0.2144
1990917996735246354,1990884400767127949,bot,38,1,8.1,-0.0377
1991213736984469882,1991134891291930660,bot,31,1,9.1,-0.836
1991214939894087922,1991129617017540729,bot,35,1,7.6,-0.8779
1991215307977818350,1991129820344775099,bot,36,1,8.0,-0.4497
1991279797230620723,1990429231206019224,bot,29,2,6.0,0.7543
1991281402617217054,1991123357987680702,bot,41,1,12.3,-0.5583
1991638803706999028,1991467365276528959,bot,31,1,17.7,-0.8402
1991640166679675057,1991599014270365829,bot,26,2,11.1,-0.6227
1991696495846776992,1991273429446603153,bot,33,1,14.6,0.4215
1991696736360730635,1991547994886307979,bot,41,1,9.7,-0.5994
1991697349987471434,1991478705970114588,bot,40,1,6.1,-0.2153
1991934386128724319,1991831458277990810,bot,26,1,18.2,0.0
1991934616165380101,1991831700767396310,bot,31,1,10.5,-0.7627
1991935559569137889,1989293068722266566,bot,33,2,9.7,-0.5267
1991936737103200426,1991790357370261694,bot,35,1,10.1,-0.296
1991937320358940976,1991700724456255578,bot,24,1,8.8,-0.2263
1992352554148049362,1992035477860589731,bot,38,1,9.5,-0.7949
1992352954532159738,1992300221456642379,bot,40,1,9.7,-0.9109
1992354251754856905,1992252270009057469,bot,31,1,11.7,-0.7717
1992354599781429673,1992266868951069151,bot,38,1,10.3,-0.8442
1992354987783901344,1992107088034795917,bot,32,1,9.5,0.0
1992613616105705607,1992383685040169234,bot,37,2,12.7,0.2023
1992614004443820412,1992225341616853357,bot,26,2,15.2,-0.0299
1992615069784383652,1992015024261599559,bot,26,1,9.5,0.7351
1992615495120404578,1991665361863999667,bot,25,1,10.5,0.0
1992615800671211919,1992435341899518119,bot,28,2,8.8,-0.4019
1992616410187538771,1992291850045001916,bot,36,1,12.5,-0.6124
1992616976896700491,1992474249618219097,bot,34,1,11.1,-0.4767
1992617317159538865,1992397358555091006,bot,37,2,10.3,-0.0516
1992974193302855734,1992380912395579503,bot,31,1,9.3,-0.5994
1992975098781855776,1992651119517192620,bot,32,1,11.7,0.3147
1992975374842487288,1992648495023710622,bot,35,1,10.1,0.1779
1992975690426204646,1991916515806048360,bot,35,1,10.1,-0.0258
1992976245340897633,1992828545320587756,bot,35,1,9.9,-0.802
1993322131518636146,1992977826455425395,bot,40,1,8.5,-0.3612
1993322547299983418,1993132277585289591,bot,26,2,14.6,0.7845
1993322844575379821,1993265476185506111,bot,28,1,16.6,-0.4019
1993323361762484336,1993130649667158467,bot,37,2,5.7,-0.6486
1993323840139575521,1993104541571858667,bot,25,2,4.4,0.4767
1994079544811090105,1993916890029150513,bot,37,1,8.0,-0.6124
1994080323374555174,1993985907939053704,bot,42,2,13.6,0.5709
1994081031352140149,1993735402587291694,bot,39,1,9.5,-0.296
1994081119210176961,1993744525433647301,bot,35,1,5.2,0.0516
1994082043328635194,1993974466938892581,bot,29,1,12.5,-0.7003
1994189730829791560,1993960297690959974,bot,34,1,15.8,-0.4019
1994192791723753717,1993785536428007747,bot,31,1,9.3,-0.5106
1994193754169737459,1994070702735954069,bot,38,2,11.8,0.0
1994822051773743197,1994580435452792897,bot,33,1,7.5,-0.5859
1994822730051387409,1994620878223479266,bot,37,2,11.5,0.0772
1994824595816227187,1994748150825771266,bot,32,1,15.4,-0.3612
1994824990877770154,1994511619901034764,bot,33,1,3.9,-0.119
1994827231143592291,1994543362981171452,bot,35,1,18.5,-0.2023
1994907959374037157,1994628250660999509,bot,39,2,8.5,-0.4019
1994908000801186058,1994654075338854791,bot,33,2,9.5,-0.6597
1994908487873155405,1994708413788688719,bot,33,1,9.7,-0.802
1994909075587404127,1994539116449730687,bot,41,1,10.8,0.802
1995152736321499542,1995014910271697028,bot,37,2,10.5,-0.765
1995499916869636505,1995335630029463840,bot,43,1,7.6,-0.7935
1995500670825197957,1995367254209495402,bot,34,2,12.3,-0.4874
1995501396955738426,1995410923960635800,bot,25,1,12.9,0.4215
1995503876707930606,1995256187374198915,bot,30,1,9.1,-0.1779
1995505731080999341,1995113520237531301,bot,27,1,13.4,0.6679
1995866897066213835,1995734284636745782,bot,33,2,8.4,0.7964
1995867307868848224,1995663406737879294,bot,31,1,15.2,-0.0387
1995870072921788806,1995257791112708283,bot,41,1,9.9,-0.4767
1995872713538183262,1995747245858185571,bot,37,1,13.8,0.128
1995872941314077050,1995589542045516075,bot,28,1,11.1,0.0
1995872989766672839,1995173541143363963,bot,38,1,7.2,0.296
1995959999760085181,1995827394096365806,bot,38,2,13.1,-0.6908
1996234772163514660,1995459325863584052,bot,33,1,9.5,-0.4019
1996234932327231713,1995792547550298478,bot,37,1,11.7,0.522
1996237005395554413,1995854578420724103,bot,30,2,10.3,0.1877
1996238233705808082,1996044022469853479,bot,39,2,2.4,0.34
1996239843924332612,1995838184400486516,bot,31,1,9.3,-0.1027
1996240661553594759,1995997361223725354,bot,26,1,9.5,-0.296
1996665418929348690,1996217381761270020,bot,31,1,10.5,-0.7469
1996665674425393381,1996460807480390067,bot,38,1,10.7,-0.9425
1997018561655583119,1996831133414363186,bot,36,1,17.3,-0.2144
1997021348820840473,1996917036212244569,bot,30,1,12.7,-0.4767
1997021721199509756,1996957936766050494,bot,28,2,14.2,-0.296
1997025288681669043,1996784574995820738,bot,36,1,10.3,0.0
1997030572049187060,1996890271330730483,bot,24,2,9.2,-0.5423
1997030972794028066,1996627296502141094,bot,32,2,15.4,0.4779
1997031313237311533,1996672641059692922,bot,32,2,12.0,-0.296
1997333633414189284,1997196381455335632,bot,39,1,5.9,-0.7942
1997334530932302282,1997119243956244789,bot,37,2,10.5,-0.6369
1997334744254542194,1997217671327502716,bot,26,1,10.2,-0.4215
1997335229082521930,1996996340874674275,bot,40,2,12.3,0.7686
1997335785553494351,1997134762818129971,bot,39,1,5.7,0.4815
1997667196416246189,1997399573820568026,bot,40,2,9.9,-0.2263
1997667694825382053,1997301630010585188,bot,37,1,18.9,-0.8898
1997668178004959520,1997564385926295631,bot,37,2,12.9,-0.4215
1997673096031948985,1997397107553026101,bot,30,1,13.8,0.0
1997673158120296917,1997269249300005292,bot,39,2,8.1,-0.4019
1998080735429714427,1997778732313153566,bot,41,1,11.3,-0.5267
1998081217162289531,1997875488212345092,bot,38,1,10.7,0.1655
1998081645283303906,1997564215104786801,bot,32,1,10.7,0.5719
1998081927618629988,1997731353190953262,bot,33,1,6.2,0.0
1998082322764091833,1997761810749874513,bot,37,1,14.6,0.5789
1998492501053764086,1998366776313422224,bot,38,1,5.8,0.0772
1998493000385618287,1998143900461285854,bot,27,1,10.9,-0.7391
1998493299749880269,1998146188839919943,bot,18,1,9.2,-0.296
1998511193044951245,1998475504383565991,bot,34,1,4.2,-0.4215
1998515745219653720,1998450068295393552,bot,39,1,13.3,-0.5994
1998838499374485621,1998440572214804785,bot,30,2,9.1,-0.296
1998838914291831248,1998572479934271720,bot,35,2,12.5,-0.607
1998876080170524727,1998794259659456965,bot,40,1,7.3,-0.8396
1998877518246326690,1998809357497332176,bot,35,1,9.9,-0.4019
1998933442449260819,1998906369337172202,bot,35,1,6.5,-0.7003
1998934646197772753,1998879143187128564,bot,24,2,8.0,-0.5994
1998936317686661388,1998771592348971522,bot,39,1,14.4,-0.8573
1999217248590807173,1998718105808249233,bot,35,1,12.3,0.296
1999275287096250432,1999064913155633547,bot,40,2,12.1,-0.8442
1999277470177001698,1998956007423455688,bot,34,1,11.1,-0.3506
1999277752122229135,1999158318032666708,bot,36,2,10.3,0.0258
1999279049152102442,1999208409111949607,bot,29,2,17.8,-0.5994
1999489445238550755,1999388527591661954,bot,29,1,6.9,-0.4019
1999492146877845991,1999285804288635054,bot,30,2,11.8,-0.4019
1999492330026344692,1999280674470015189,bot,35,2,8.5,-0.3313
1999605090483650723,1999342443125174603,bot,26,1,1.1,-0.4767
1999606305598701871,1999547059049840787,bot,26,1,17.8,-0.4019
1999962226564677672,1999884689675596282,bot,39,2,9.7,-0.7061
1999986103437152529,1999609742998798776,bot,36,1,11.3,-0.0772
1999986971448361078,1999251484391981511,bot,35,1,10.1,-0.8555
1999987356200296746,1999576316467622251,bot,34,1,7.7,0.3244
1999988434920788409,1999964115729867235,bot,38,1,13.1,-0.7845
2000213691082416509,2000168676201558487,bot,23,1,10.1,-0.4019
2000215508356935772,2000175099077599562,bot,34,1,12.1,-0.8979
2000215730717851802,1999898065109745852,bot,36,2,5.5,-0.2144
2000216612431901061,1999921240744902673,bot,29,1,6.6,-0.34
2000217211797897587,1999999737379143950,bot,36,2,17.3,-0.128
2000220023445463342,2000188768859603060,bot,37,2,9.1,-0.7506
2000580170315350045,2000539932218061305,bot,34,1,14.6,-0.5719
2000580391023858056,2000519349946265859,bot,39,1,9.3,-0.6249
2000667954162151849,2000562609049977196,bot,33,1,12.1,-0.5574
2000692204486950935,2000579345438380194,bot,40,1,8.4,-0.2649
2000693001501216987,2000583478971351203,bot,35,2,17.7,-0.2144
2000699616568730073,2000650407878787341,bot,32,1,14.3,-0.6542
2000700305512493263,2000453167956602973,bot,32,2,8.5,0.4019
2001046209432089027,2001026551585165747,bot,47,1,11.3,-0.9489
2001063080336269389,2001025645267005547,bot,31,1,10.5,0.285
2001063821046116648,2000732481939468632,bot,29,2,6.4,-0.1147
2001064696481206513,2000987471945912610,bot,38,1,16.9,0.2732
2001069516457902540,2000995376581505451,bot,34,1,13.5,-0.7096
2001069959082844560,2001007430877241399,bot,34,1,8.7,0.6124
2001300384887816691,2000896298237534477,bot,33,2,10.9,-0.3182
2001301504196513966,2001152947733066231,bot,28,1,11.1,-0.1531
2001309362631881024,2000991287680565557,bot,29,2,11.1,0.3182
2001310074321400088,2000906255289008314,bot,36,1,16.9,-0.4753
2001381773553373269,2001285243610042492,bot,34,2,10.9,-0.8099
2001749921104281815,2001610023588470926,bot,34,2,12.1,-0.0772
2001752282904354996,2001535860466991237,bot,30,1,6.6,-0.0772
2001753415274119498,2001314233061970088,bot,30,1,10.1,-0.4019
2001754653625635002,2001623747246395401,bot,41,2,7.3,-0.6187
2001760487684378920,2001603470928068705,bot,40,2,8.5,0.0
2001760845370478868,2001722044266717566,bot,36,2,10.3,-0.2093
2001761514680651791,2001699232840114394,bot,32,2,3.4,-0.7469
