noteId,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,toxicity_model
1984633896403607556,0.0004080332291778177,1.4583480378860258e-06,2.8184120310470462e-05,8.275741129182279e-05,0.00010151089372811839,2.032973316090647e-05,1.4455230484600179e-05,detoxify-unbiased
1984635159509909745,0.00042241200571879745,1.3386613773036515e-06,2.793219937302638e-05,7.805920904502273e-05,0.00010489697888260707,1.618949681869708e-05,1.3407297956291586e-05,detoxify-unbiased
1985012997744468363,0.0009989066747948527,1.8756203417069628e-06,3.7266370782162994e-05,0.00013214552018325776,0.00017709231178741902,7.814798300387338e-05,1.67992475326173e-05,detoxify-unbiased
1985013329576816961,0.0008309123804792762,1.483026835558121e-06,3.0344193874043413e-05,0.0001226627646246925,0.00022684148279950023,3.244305116822943e-05,2.1963460312690586e-05,detoxify-unbiased
1985013627313692757,0.0004371126997284591,1.3035352139922907e-06,2.82767850876553e-05,6.814728840254247e-05,0.00010992319585056975,1.5628696928615682e-05,1.386312760587316e-05,detoxify-unbiased
1985013848257044705,0.00112821813672781,1.8258799627801636e-06,4.88887308165431e-05,0.00010176163050346076,0.00022821362654212862,5.347699698177166e-05,2.793315979943145e-05,detoxify-unbiased
1985014173525229876,0.00043976533925160766,1.4245166539694765e-06,2.8803286113543436e-05,7.389555685222149e-05,0.00010805729834828526,2.074245821859222e-05,1.4800844837736804e-05,detoxify-unbiased
1985014508662755568,0.021994680166244507,2.8341846700641327e-05,0.0002129256899934262,0.020148340612649918,0.0019295095698907971,0.0002509727783035487,9.770636825123802e-05,detoxify-unbiased
1985016560444985531,0.0062432498671114445,1.5537436865997734e-06,8.483562123728916e-05,0.00021098522120155394,0.002476984402164817,2.889145616791211e-05,2.8114780434407294e-05,detoxify-unbiased
1985018126296117755,0.0007846823427826166,1.4895881577103864e-06,3.703823676914908e-05,9.08909278223291e-05,0.00019670692563522607,2.587562266853638e-05,1.7480238966527395e-05,detoxify-unbiased
