noteId,tweetId,writer,cites_bbc_com,cites_cnn_com,cites_en_wikipedia_org,cites_facebook_com,cites_instagram_com,cites_reuters_com,cites_share_google,cites_snopes_com,cites_t_co,cites_theguardian_com,cites_x_com,cites_x_com_grok,cites_yahoo_com,cites_youtube_com
1984633896403607556,1959655760285081935,bot,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1984635159509909745,1984237794160672936,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985012997744468363,1984746554238881990,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985013329576816961,1984532450492416482,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985013627313692757,1984707306786079171,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1985013848257044705,1984697346329137572,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985014173525229876,1984676390608818260,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985014508662755568,1984773615192023523,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985016560444985531,1984713573864509593,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985018126296117755,1984373158036832660,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985366516104135066,1985123505973690849,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985366988168876269,1984959886766285177,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985385242547437696,1984281159346622889,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985386064878489650,1984670182699053135,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985387102729560366,1984845909361050008,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985425775865090186,1985340076226924556,bot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1985426291189764551,1985364652977447298,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1985769771376255331,1985641890725671008,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1985777754957111540,1985368837748093402,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985780072247087182,1985591055773814851,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985780923770564652,1985710526404661752,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985854111900635272,1985716345107829064,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986119055141408795,1985951737488777377,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1986119392325697807,1985786856798134747,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1986119712690905273,1985909974585766284,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986120127012610211,1985733488717545540,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986120541787275344,1985783259327054239,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986120930238566911,1985888858773615020,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1986121385211498795,1985864395021566334,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986121783292932316,1985852952859345235,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986539312108728694,1986362046469099945,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986539941615084005,1986397520902430817,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986573922414834020,1986403982613590206,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986574936152936519,1986492803481018803,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1986579051910144411,1986168991157489993,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986580160674500720,1986508952662909168,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986580491315618114,1986476714466111837,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986581296055775497,1986088757305712685,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986813890701701278,1986132385511989502,bot,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1986814421054689406,1986525526568120783,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986814762332610587,1985815642981712378,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986815304547094894,1986665360171446321,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986815689668055290,1986475655262052378,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1987324883030655467,1987119426634694706,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1987325300292587692,1987021510452928880,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987325984454885799,1987164565398749587,bot,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1987327367996424675,1987187995779182760,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987329736712790416,1986978781605601414,bot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987333134036164841,1986074403268886988,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1987336270926709108,1987174337011650727,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1987337221855121534,1987010603714597082,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987337634234896594,1986998192739946660,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987338339012198490,1987233663281697247,bot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987338625961324739,1987238217096052827,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987550497465631055,1987504087340847601,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1987550613186453755,1987006290837839979,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987551234694287864,1987183437233758369,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987662965839999290,1987576250790027467,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0
